127.0.0.1 - - [11/Jun/2023:15:19:28 -0500] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:19:30 -0500] "GET /Proyecto-Instituto/ HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:29:36 -0500] "GET /Proyecto-Instituto/index.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:30:16 -0500] "POST /Proyecto-Instituto/ControladorLogueoProfesor HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:30:51 -0500] "POST /Proyecto-Instituto/ControladorLogueoProfesor HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:31:06 -0500] "POST /Proyecto-Instituto/ControladorLogueoProfesor HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:31:16 -0500] "GET /Proyecto-Instituto/ControladorLogueoAlumno HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:31:24 -0500] "POST /Proyecto-Instituto/ControladorLogueoAlumno HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:31:52 -0500] "GET /Proyecto-Instituto/index.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:54:37 -0500] "POST /Proyecto-Instituto/ControladorLogueoProfesor HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:56:27 -0500] "GET /Proyecto-Instituto/MenuPrincipal.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:56:49 -0500] "GET /Proyecto-Instituto/index.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:57:28 -0500] "POST /Proyecto-Instituto/ControladorLogueoProfesor HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:57:46 -0500] "POST /Proyecto-Instituto/ControladorLogueoProfesor HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:58:02 -0500] "GET /Proyecto-Instituto/ControladorLogueoAlumno HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:58:08 -0500] "POST /Proyecto-Instituto/ControladorLogueoAlumno HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:58:19 -0500] "GET /Proyecto-Instituto/RegistrarAlumno.jsp HTTP/1.1" 200 6489
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:58:19 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:58:20 -0500] "GET /Proyecto-Instituto/MenuPrincipal.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [11/Jun/2023:15:58:37 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:06:25 -0500] "GET /Proyecto-Instituto/RegistrarAlumno.jsp HTTP/1.1" 200 6489
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:06:25 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:06:59 -0500] "POST /Proyecto-Instituto/ControladorRegistrarAlumno HTTP/1.1" 404 1090
